Год,Строительство номинальная зп,Строительство реальная зп,Образование номинальная зп,Строительство реальная зп,Здравоохранение номинальная зп,Строительство реальная зп,Инфляция,Индекс инфляции
2000,2640,2200,1240,1033,1333,1110,20,1.2
2001,3859,3270,1833,1553,1960,1661,18,1.18
2002,4807,4180,2927,2545,3141,2731,15,1.15
2003,6177,5564,3387,3051,3663,3300,11,1.11
2004,7305,6581,4203,3786,4612,4155,11,1.11
2005,9043,8220,5430,4936,5906,5369,10,1.1
2006,10869,9971,6983,6406,8060,7394,9,1.09
2007,14333,12912,8778,7908,10037,9042,11,1.11
2008,18574,16437,11317,10015,13049,11547,13,1.13
2009,18122,16779,13294,12309,14820,13722,8,1.08
2010,21172,19603,14075,13032,15724,14559,8,1.08
2011,23682,22341,15809,14914,17545,16551,6,1.06
2012,25951,24482,18995,17919,20641,19472,6,1.06
2013,27701,26133,23458,22130,24439,23055,6,1.06
2014,29354,26445,25862,23299,27068,24385,11,1.11
2015,29960,26750,26928,24042,28179,25159,12,1.12
2016,32332,30792,28088,26750,29742,28325,5,1.05
2017,33678,33017,30258,29664,31980,31352,2,1.02
2018,38518,37036,34361,33039,40027,38487,4,1.04
2019,42630,41388,37072,35992,43122,41866,3,1.03
2020,44738,43017,39563,38041,49532,47626,4,1.04
2021,51944,48096,43391,40176,50690,46935,8,1.08
2022,60850,54819,48400,43603,55420,49927,11,1.11
2023,68944,64433,54263,50713,61486,57463,7,1.07
